City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Chapais,49.7834,-74.8492,46.18,68,100,12.01,CA,overcast clouds
1,Guerrero Negro,27.9769,-114.0611,71.96,74,0,15.57,MX,clear sky
2,Mount Gambier,-37.8333,140.7667,65.97,51,100,7.27,AU,overcast clouds
3,Mataura,-46.1927,168.8643,52.56,48,69,10.51,NZ,broken clouds
4,Ushuaia,-54.8,-68.3,44.26,81,100,12.66,AR,light intensity drizzle
5,Pevek,69.7008,170.3133,4.64,94,70,5.5,RU,broken clouds
6,Victoria,22.2855,114.1577,72.03,60,100,15.99,HK,overcast clouds
7,Sao Filipe,14.8961,-24.4956,78.58,78,100,3.78,CV,overcast clouds
8,Rikitea,-23.1203,-134.9692,68.85,68,61,19.86,PF,broken clouds
9,Batang Berjuntai,3.3833,101.4167,86.54,82,97,1.39,MY,overcast clouds
10,Caucaia,-3.7361,-38.6531,80.55,75,20,18.41,BR,few clouds
11,Hermanus,-34.4187,19.2345,57.79,91,100,5.66,ZA,overcast clouds
12,Puerto Ayora,-0.7393,-90.3518,67.55,86,15,4.0,EC,few clouds
13,Busselton,-33.65,115.3333,59.34,67,0,3.56,AU,clear sky
14,Eisenberg,50.9667,11.9,60.26,93,73,3.71,DE,broken clouds
15,Ambovombe,-25.1667,46.0833,67.15,83,5,11.36,MG,clear sky
16,Jamestown,42.097,-79.2353,40.59,72,0,14.97,US,clear sky
17,Klaksvik,62.2266,-6.589,43.72,75,84,17.25,FO,broken clouds
18,Daru,-9.0763,143.2092,81.68,82,100,8.16,PG,overcast clouds
19,Khandbari,27.3747,87.2039,60.49,59,0,4.47,NP,clear sky
20,Narsimhapur,22.95,79.2,68.25,82,0,3.44,IN,clear sky
21,Albany,42.6001,-73.9662,54.23,94,100,1.39,US,overcast clouds
22,Buerarema,-14.9594,-39.2997,77.59,94,0,0.16,BR,clear sky
23,Bredasdorp,-34.5322,20.0403,58.48,96,100,1.88,ZA,overcast clouds
24,Beloha,-25.1667,45.05,67.42,83,4,12.8,MG,clear sky
25,Grindavik,63.8424,-22.4338,37.87,81,20,4.61,IS,few clouds
26,Turukhansk,65.8167,87.9833,32.5,98,100,7.0,RU,light snow
27,Tiksi,71.6872,128.8694,11.37,87,95,14.88,RU,overcast clouds
28,Thompson,55.7435,-97.8558,30.36,59,75,3.44,CA,broken clouds
29,Zig,40.127,-92.7663,37.69,39,0,10.36,US,clear sky
30,Saint-Philippe,-21.3585,55.7679,65.79,79,40,8.81,RE,scattered clouds
31,Qaanaaq,77.484,-69.3632,7.07,74,100,3.76,GL,overcast clouds
32,Hanyang,32.1371,105.5126,59.54,65,100,2.89,CN,overcast clouds
33,Chokurdakh,70.6333,147.9167,15.48,95,99,8.25,RU,overcast clouds
34,Lavrentiya,65.5833,-171.0,31.98,76,81,7.83,RU,broken clouds
35,Ronne,55.1009,14.7066,57.11,94,20,12.66,DK,few clouds
36,Severo-Kurilsk,50.6789,156.125,43.7,78,20,32.03,RU,few clouds
37,Isangel,-19.55,169.2667,84.31,84,75,2.3,VU,broken clouds
38,Bluff,-46.6,168.3333,48.97,66,37,25.26,NZ,scattered clouds
39,Sabha,27.0377,14.4283,66.33,51,0,8.52,LY,clear sky
40,Abnub,27.2696,31.1511,70.02,58,0,11.54,EG,clear sky
41,Santa Cruz Del Sur,20.7147,-77.9956,80.4,74,100,1.59,CU,light rain
42,Honiara,-9.4333,159.95,86.95,64,17,6.6,SB,few clouds
43,Barrow,71.2906,-156.7887,28.42,80,100,11.5,US,overcast clouds
44,Yellowknife,62.456,-114.3525,45.12,70,20,12.66,CA,few clouds
45,Zhanaozen,43.3,52.8,53.76,56,85,6.78,KZ,overcast clouds
46,Mandera,3.9366,41.867,77.22,72,96,12.86,KE,overcast clouds
47,Ribeira Grande,38.5167,-28.7,56.77,75,29,8.99,PT,light rain
48,Buala,-8.145,159.5921,84.56,69,39,7.2,SB,light rain
49,Ostrovnoy,68.0531,39.5131,44.02,86,98,22.26,RU,overcast clouds
50,Butaritari,3.0707,172.7902,81.88,73,50,16.87,KI,scattered clouds
51,Nanortalik,60.1432,-45.2371,36.93,76,100,6.44,GL,overcast clouds
52,Fortuna,40.5982,-124.1573,68.94,70,40,12.66,US,scattered clouds
53,Malinyi,-8.9333,36.1333,70.07,68,0,3.24,TZ,clear sky
54,Ahipara,-35.1667,173.1667,62.83,62,2,10.6,NZ,clear sky
55,Rodino,52.5,80.25,41.0,85,100,9.51,RU,overcast clouds
56,Saskylakh,71.9167,114.0833,-0.72,100,96,3.6,RU,overcast clouds
57,Chuy,-33.6971,-53.4616,59.56,78,100,14.32,UY,overcast clouds
58,Mahebourg,-20.4081,57.7,66.25,69,16,10.11,MU,few clouds
59,Hobart,-42.8794,147.3294,59.25,65,100,5.01,AU,overcast clouds
60,New Norfolk,-42.7826,147.0587,58.91,46,100,4.09,AU,light rain
61,Khatanga,71.9667,102.5,20.53,96,100,7.2,RU,light snow
62,Punta Arenas,-53.15,-70.9167,50.11,71,75,8.05,CL,broken clouds
63,Cape Town,-33.9258,18.4232,63.91,79,0,11.99,ZA,clear sky
64,Castro,-24.7911,-50.0119,59.41,95,100,9.35,BR,overcast clouds
65,Ancud,-41.8697,-73.8203,52.32,85,0,3.11,CL,clear sky
66,Lisakovsk,52.5369,62.4936,43.47,66,100,7.38,KZ,overcast clouds
67,Norman Wells,65.282,-126.8329,35.64,87,75,11.5,CA,broken clouds
68,Mambatangan,8.4333,124.8333,78.55,69,65,1.77,PH,broken clouds
69,Berlevag,70.8578,29.0864,41.0,87,75,16.11,NO,light rain
70,Napa,38.4832,-122.3344,75.27,57,100,3.96,US,overcast clouds
71,Kloulklubed,7.0419,134.2556,84.7,74,100,10.83,PW,overcast clouds
72,Sucua,-2.4667,-78.1667,68.38,97,23,2.3,EC,few clouds
73,Coahuayana,18.7333,-103.6833,78.85,89,99,2.08,MX,moderate rain
74,Japura,-0.3167,102.35,76.3,91,100,1.12,ID,overcast clouds
75,Codrington,-38.2667,141.9667,63.12,63,100,5.5,AU,overcast clouds
76,Hilo,19.7297,-155.09,89.28,76,40,8.05,US,scattered clouds
77,Saldanha,-33.0117,17.9442,59.05,92,100,9.42,ZA,overcast clouds
78,Putina,-15.4667,-69.4333,47.16,69,90,8.12,PE,overcast clouds
79,Praia Da Vitoria,38.7333,-27.0667,57.45,77,40,22.5,PT,scattered clouds
80,Leningradskiy,69.3833,178.4167,17.56,90,100,6.11,RU,overcast clouds
81,Gamboma,-1.8764,15.8644,71.78,91,71,0.98,CG,light rain
82,Vaini,-21.2,-175.2,84.36,79,40,12.66,TO,scattered clouds
83,Chicla,-11.705,-76.2686,45.34,73,44,1.36,PE,scattered clouds
84,Port Augusta,-32.5,137.7667,71.15,42,100,14.58,AU,overcast clouds
85,Cayenne,4.9333,-52.3333,77.04,88,20,0.0,GF,few clouds
86,Lompoc,34.6391,-120.4579,73.54,73,0,10.36,US,clear sky
87,Rocha,-34.4833,-54.3333,55.0,83,95,9.73,UY,overcast clouds
88,Talnakh,69.4865,88.3972,31.21,97,100,4.14,RU,light snow
89,Ravenna,44.4167,11.9833,66.61,75,64,3.6,IT,broken clouds
90,Ponta Do Sol,32.6667,-17.1,74.01,85,23,12.68,PT,few clouds
91,Danielskuil,-28.1887,23.5395,60.01,70,100,5.14,ZA,overcast clouds
92,Atuona,-9.8,-139.0333,76.89,73,31,12.5,PF,scattered clouds
93,Zhigansk,66.7697,123.3711,11.68,96,100,5.03,RU,overcast clouds
94,Celestun,20.8667,-90.4,80.73,83,63,11.34,MX,light rain
95,Palauig,15.435,119.9045,83.46,77,71,8.93,PH,broken clouds
96,Roald,62.5833,6.1333,49.75,87,20,9.22,NO,few clouds
97,Dunda,-8.1167,34.25,64.98,61,9,4.34,TZ,clear sky
98,Tuktoyaktuk,69.4541,-133.0374,28.4,93,100,5.75,CA,light rain
99,Airai,-8.9266,125.4092,73.22,66,72,1.41,TL,broken clouds
100,Hamilton,39.1834,-84.5333,43.43,54,42,5.99,US,scattered clouds
101,Nicoya,10.1483,-85.452,74.39,94,100,4.05,CR,overcast clouds
102,Necochea,-38.5473,-58.7368,50.22,85,77,13.11,AR,broken clouds
103,Neiafu,-18.65,-173.9833,83.08,69,20,10.36,TO,few clouds
104,Umm Lajj,25.0213,37.2685,81.0,55,21,3.29,SA,few clouds
105,Cidreira,-30.1811,-50.2056,64.24,91,96,19.22,BR,overcast clouds
106,Lukulu,-14.3707,23.242,68.52,44,78,1.28,ZM,broken clouds
107,Jimeta,9.2833,12.4667,76.73,58,69,2.19,NG,broken clouds
108,Hay River,60.8156,-115.7999,58.98,44,20,6.91,CA,smoke
109,Barranca,-10.75,-77.7667,60.87,82,7,7.74,PE,clear sky
110,Katsuura,35.1333,140.3,60.82,90,100,19.77,JP,overcast clouds
111,Manzhouli,49.6,117.4333,34.14,37,0,3.18,CN,clear sky
112,Kupang,-10.1667,123.5833,87.84,58,93,0.69,ID,overcast clouds
113,Acarau,-2.8856,-40.12,79.05,81,65,19.6,BR,broken clouds
114,Avarua,-21.2078,-159.775,80.65,61,75,18.41,CK,broken clouds
115,Okhotsk,59.3833,143.3,28.0,45,99,19.95,RU,overcast clouds
116,Hithadhoo,-0.6,73.0833,80.6,69,100,4.56,MV,overcast clouds
117,Walvis Bay,-22.9575,14.5053,58.15,88,0,2.3,NA,clear sky
118,Santa Luzia,-19.7697,-43.8514,74.48,58,0,10.36,BR,clear sky
119,Alyangula,-13.8483,136.4192,86.02,60,39,11.18,AU,scattered clouds
120,Fairbanks,64.8378,-147.7164,42.82,75,0,4.61,US,clear sky
121,Bambous Virieux,-20.3428,57.7575,66.22,69,18,10.36,MU,few clouds
122,Yatou,37.15,122.3833,54.52,47,6,6.13,CN,clear sky
123,Laguna,38.421,-121.4238,79.09,48,0,5.75,US,clear sky
124,Teresina,-5.0892,-42.8019,87.51,48,0,0.0,BR,clear sky
125,Souillac,-20.5167,57.5167,69.84,69,39,9.66,MU,scattered clouds
126,East London,-33.0153,27.9116,66.63,88,100,3.98,ZA,overcast clouds
127,Tahe,52.3333,124.7333,36.55,42,19,7.72,CN,few clouds
128,Dikson,73.5069,80.5464,32.43,99,100,25.57,RU,snow
129,Mogadishu,2.0371,45.3438,77.22,83,39,9.15,SO,scattered clouds
130,Sitka,57.0531,-135.33,57.09,82,0,4.61,US,clear sky
131,Rongcheng,30.634,117.8517,57.99,41,0,7.43,CN,clear sky
132,Axim,4.8699,-2.2405,76.8,89,14,3.51,GH,few clouds
133,Kulhudhuffushi,6.6221,73.07,78.48,87,100,21.54,MV,overcast clouds
134,Orhei,47.3831,28.8231,47.52,45,27,4.03,MD,scattered clouds
135,Kapaa,22.0752,-159.319,84.18,69,0,9.22,US,clear sky
136,Pisco,-13.7,-76.2167,60.85,82,20,14.97,PE,few clouds
137,Nikolskoye,59.7035,30.7861,48.09,90,100,7.23,RU,overcast clouds
138,Geraldton,-28.7667,114.6,63.01,63,0,12.66,AU,clear sky
139,Dzaoudzi,-12.7887,45.2699,73.29,88,0,3.44,YT,clear sky
140,Petropavlovsk-Kamchatskiy,53.0452,158.6483,41.59,100,75,2.24,RU,light rain
141,San Andres,12.5847,-81.7006,84.22,79,40,5.75,CO,scattered clouds
142,Inhambane,-23.865,35.3833,71.89,83,48,6.71,MZ,scattered clouds
143,Luderitz,-26.6481,15.1594,59.61,80,97,9.35,NA,overcast clouds
144,Maningrida,-12.0667,134.2667,89.29,53,99,8.7,AU,overcast clouds
145,Kodiak,57.79,-152.4072,51.31,71,40,10.36,US,scattered clouds
146,Concarneau,47.875,-3.9225,59.79,95,4,6.96,FR,clear sky
147,Hovd,48.0056,91.6419,41.29,38,100,7.74,MN,overcast clouds
148,Mount Isa,-20.7333,139.5,92.32,33,93,14.9,AU,moderate rain
149,Pangnirtung,66.1451,-65.7125,25.5,94,99,8.7,CA,light snow
150,Concepcion,-36.827,-73.0498,51.6,93,100,4.61,CL,overcast clouds
151,Port Alfred,-33.5906,26.891,61.18,94,96,8.48,ZA,overcast clouds
152,Bengkulu,-3.8004,102.2655,77.95,84,100,3.04,ID,overcast clouds
153,Orneta,54.1148,20.1333,58.6,78,92,11.14,PL,overcast clouds
154,Namatanai,-3.6667,152.4333,83.75,70,100,12.37,PG,light rain
155,Maxixe,-23.8597,35.3472,70.72,86,53,5.73,MZ,broken clouds
156,Lima,-12.0432,-77.0282,60.91,81,100,12.66,PE,overcast clouds
157,Leh,34.1667,77.5833,35.26,75,100,4.56,IN,light snow
158,Marawi,7.9986,124.2928,78.75,69,100,3.0,PH,overcast clouds
159,Cururupu,-1.8283,-44.8683,78.06,81,17,5.7,BR,few clouds
160,Sinazongwe,-17.2614,27.4618,74.77,56,12,4.43,ZM,few clouds
161,Tveit,58.2337,8.122,52.63,98,75,1.14,NO,broken clouds
162,Yulara,-25.2406,130.9889,68.25,37,0,20.29,AU,clear sky
163,Petropavlovka,50.6114,105.3196,33.35,38,100,2.35,RU,overcast clouds
164,Padang,-0.9492,100.3543,75.25,77,100,2.1,ID,overcast clouds
165,Mbini,1.574,9.6134,78.69,85,100,6.06,GQ,light rain
166,Elk Point,42.6833,-96.6836,39.04,21,4,9.48,US,clear sky
167,Tadine,-21.55,167.8833,78.55,65,93,7.72,NC,overcast clouds
168,Banda Aceh,5.5577,95.3222,80.91,76,99,11.88,ID,overcast clouds
169,Marsh Harbour,26.5412,-77.0636,80.53,63,35,10.0,BS,scattered clouds
170,Mar Del Plata,-38.0023,-57.5575,57.09,85,0,14.0,AR,clear sky
171,Dunedin,-45.8742,170.5036,51.8,68,94,14.0,NZ,overcast clouds
172,Melville,40.7934,-73.4151,64.17,84,100,6.91,US,overcast clouds
173,Arraial Do Cabo,-22.9661,-42.0278,73.36,88,0,13.8,BR,clear sky
174,Mayumba,-3.432,10.6554,76.91,91,100,8.86,GA,overcast clouds
175,Antofagasta,-23.65,-70.4,58.28,76,34,4.29,CL,scattered clouds
176,Siparia,10.1333,-61.5,79.79,95,99,7.56,TT,overcast clouds
177,Casablanca,33.5928,-7.6192,73.42,69,94,4.0,MA,overcast clouds
178,Carutapera,-1.195,-46.02,78.75,81,7,7.85,BR,clear sky
179,Lata,40.1629,-8.3327,59.92,77,19,4.52,PT,few clouds
180,Antalaha,-14.9003,50.2788,64.42,83,35,5.61,MG,scattered clouds
181,Crossville,35.949,-85.0269,46.09,56,0,6.91,US,clear sky
182,Lockhart,28.6194,-81.4426,75.29,93,40,0.0,US,scattered clouds
183,Palafrugell,41.9174,3.1631,70.43,56,44,4.23,ES,scattered clouds
184,Aksu,41.1231,80.2644,52.07,24,77,2.75,CN,broken clouds
185,Marrakesh,31.6315,-8.0083,73.47,56,0,3.44,MA,clear sky
186,Paris,48.8534,2.3488,63.09,96,100,3.44,FR,fog
187,Tayu,-6.5397,111.0518,81.63,76,100,6.46,ID,light rain
188,Mitsamiouli,-11.3847,43.2844,74.5,81,6,7.74,KM,clear sky
189,Dingle,10.9995,122.6711,81.73,78,100,9.98,PH,overcast clouds
190,Millinocket,45.6573,-68.7098,51.91,87,75,0.0,US,broken clouds
191,Provideniya,64.3833,-173.3,33.91,75,100,11.18,RU,overcast clouds
192,Cabo San Lucas,22.8909,-109.9124,82.62,69,40,2.3,MX,scattered clouds
193,Muscat,23.6139,58.5922,75.22,40,100,3.6,OM,overcast clouds
194,Kruisfontein,-34.0033,24.7314,56.88,92,11,4.7,ZA,few clouds
195,Los Llanos De Aridane,28.6585,-17.9182,65.95,64,40,8.05,ES,scattered clouds
196,Kavaratti,10.5669,72.642,77.77,91,100,19.13,IN,overcast clouds
197,Aranda De Duero,41.6704,-3.6892,57.56,69,4,8.68,ES,clear sky
198,Meulaboh,4.1363,96.1285,77.67,81,99,3.42,ID,overcast clouds
199,Port Elizabeth,-33.918,25.5701,63.32,92,75,8.05,ZA,broken clouds
200,Tuatapere,-46.1333,167.6833,50.85,60,88,14.56,NZ,overcast clouds
201,Kargopol,61.5071,38.9456,41.07,84,71,9.04,RU,broken clouds
202,Kirillov,59.863,38.3813,45.39,83,100,9.71,RU,overcast clouds
203,Salinas,36.6777,-121.6555,72.28,64,0,11.5,US,clear sky
204,Ganzhou,28.8184,115.4327,64.53,31,0,12.41,CN,clear sky
205,Faanui,-16.4833,-151.75,77.68,79,37,16.13,PF,light rain
206,Narsaq,60.9167,-46.05,30.42,73,100,5.23,GL,overcast clouds
207,San Pedro,14.35,121.0167,87.31,73,40,2.3,PH,scattered clouds
208,Moose Factory,51.2585,-80.6094,44.6,93,100,13.8,CA,mist
209,Karratha,-20.7377,116.8463,81.37,23,5,23.31,AU,clear sky
210,Fort William,56.8165,-5.1121,46.31,95,50,2.46,GB,scattered clouds
211,Scarborough,54.2797,-0.4044,52.79,82,13,7.0,GB,few clouds
212,Salalah,17.0151,54.0924,75.29,57,0,3.44,OM,clear sky
213,Newton Abbot,50.5286,-3.6119,54.57,96,0,2.39,GB,clear sky
214,Oranjestad,12.524,-70.027,84.15,83,20,12.66,AW,few clouds
215,Vagur,61.4732,-6.8119,46.27,81,100,23.2,FO,overcast clouds
216,Panguiranan,12.0699,123.3185,82.76,77,99,11.14,PH,overcast clouds
217,Mirador,-6.3708,-44.3631,78.84,38,1,2.53,BR,clear sky
218,Lebu,-37.6167,-73.65,53.24,96,100,6.82,CL,overcast clouds
219,Warrington,53.3925,-2.5802,51.91,87,32,3.44,GB,scattered clouds
220,Maldonado,-34.6667,-54.9167,58.39,82,98,11.61,UY,overcast clouds
221,Anadyr,64.75,177.4833,19.9,85,0,6.71,RU,clear sky
222,Pokhara,28.2333,83.9833,60.04,47,0,6.22,NP,clear sky
223,Lagoa,39.05,-27.9833,62.38,57,100,27.34,PT,light rain
224,Bumba,2.1833,22.4667,69.37,91,86,2.15,CD,overcast clouds
225,Alice Springs,-23.7,133.8833,71.15,64,100,18.41,AU,overcast clouds
226,Bowen,-20.0167,148.2333,79.25,70,98,13.06,AU,overcast clouds
227,Ilulissat,69.2167,-51.1,39.22,93,100,2.3,GL,light intensity shower rain
228,Thalgau,47.8333,13.25,54.32,93,9,9.22,AT,clear sky
229,Torbay,47.6666,-52.7314,59.58,97,40,3.44,CA,fog
230,Mahajanga,-15.7167,46.3167,71.62,68,20,5.75,MG,few clouds
